STATO,NOME,TIPO,TELEFONO,INDIRIZZO,PROPRIETARIO,EMAIL,SITO,NOTE_SEBASTIANO
IN_ENTRAMBI,Stadt Hotel Città,Hotel,+39 0471 1800161,"Piazza Walther 21, 39100 Bolzano",Podini AG (Cellina von Mannstein founding),info@hotel-citta.com,www.hotel-citta.com,Inviare  email info@hotel-città.com
IN_ENTRAMBI,Design Hotel Greif,Hotel,+39 0471 318000,"Via della Rena 28, Piazza Walther, 39100 Bolzano",Famiglia Staffler (Franz Staffler) - Dir. Doris Gotter,info@greif.it,www.greif.it,ok
IN_ENTRAMBI,Falkensteiner Hotel Bozen Waltherpark,Hotel,+39 0471 1431601,"Via Alto Adige 31, 39100 Bolzano","Erich/Andreas Falkensteiner, Otmar Michaeler (FMTG)",bozen@reservations.falkensteiner.com,www.falkensteiner.com,inviare email bozen@lalkensteiner.com
IN_ENTRAMBI,Ristorante Pizzeria Casa al Torchio,Ristorante,+39 0471 978109,"Via Museo 2/A, 39100 Bolzano",,,,non risp
IN_ENTRAMBI,Paulaner Stuben,Ristorante,+39 0471 980407,"Via Argentieri 16, 39100 Bolzano",,,,non interessati per ora
IN_ENTRAMBI,Cavallino Bianco,Ristorante,+39 0471 973267,"Via dei Bottai 6, 39100 Bolzano",,,,non interessati per ora
IN_ENTRAMBI,Löwengrube,Ristorante,+39 0471 970032,"Piazza Dogana 3, 39100 Bolzano",,,,info@löwengrube.it inviare email per fix app
IN_ENTRAMBI,La Torcia,Ristorante,+39 0471 973236,"Via dei Conciapelli 25, 39100 Bolzano",,,,"titolare fuori, rientra tra due settimane"
IN_ENTRAMBI,Ristorante Pizzeria Il Giardinetto,Ristorante,+39 0471 401983,"Via Tre Santi 1, 39100 Bolzano",,,,---
IN_ENTRAMBI,Campo Franz,Ristorante,+39 0471 233729,"Piazza Walther 13, 39100 Bolzano",Franz,,,non interassato
IN_ENTRAMBI,Osteria Il Tinello,Ristorante,+39 0471 324711,"Via dei Conciapelli 38, 39100 Bolzano",,,,già clienti
