nome_azienda,tipo,indirizzo,tel_aziendale,email_aziendale,sito_web,proprietario,tel_diretto_proprietario
101 Caffè Bolzano,Bar,"Galleria Europa 19, 39100 Bolzano",+39 0471 1894184,,,101 Caffè (catena),
Alko S.n.c. Stublla Kujtim e Bleart,Bar,"Corso Libertà 13, 39100 Bolzano",+39 0471 236702,,,"Kujtim Stublla, Bleart Stublla",
An di Nicastro Alex & Co.,Bar,"Via Milano 100, 39100 Bolzano",+39 0471 233468,,,Alex Nicastro,
Andrade Stefaner James,Bar,"Via Leonardo da Vinci 16/C, 39100 Bolzano",+39 0471 233198,,,James Andrade Stefaner,
Andreini Alessandra,Bar,"Galleria Sernesi 27, 39100 Bolzano",+39 0471 375936,,,Alessandra Andreini,
Bar Alimentari Don Bosco,Bar,"Piazza Don Bosco 4/A, 39100 Bolzano",+39 0471 342879,,,,
Bar Amedeo S.a.s. di Silla Lorenzo,Bar,"Via Battisti 44, 39100 Bolzano",+39 0471 537688,,,Lorenzo Silla,
Bar Centro 2,Bar,"Via Milano 20, 39100 Bolzano",+39 329 1937121,,,,+39 329 1937121
Bar Harty,Bar,"Via Dùhrer 14, 39100 Bolzano",+39 0471 930653,,,,
Bar Mario di Trotto Massimo,Bar,"Via Resia 98, 39100 Bolzano",+39 0471 095640,,,Massimo Trotto,
Bar Pia di Shahzad,Bar,"Via Claudia Augusta 27, 39100 Bolzano",+39 353 3812732,,,Muhammad Atif Shahzad,+39 353 3812732
Bar Pizzeria Haidi,Bar,"Via Renon 33, 39100 Bolzano",+39 0471 975183,,,Haidi,
Bar Ristorante Circolo Tennis Gries,Bar,"Via Knoller 8, 39100 Bolzano",+39 347 3964215,,,Circolo Tennis Gries,+39 347 3964215
Bar Ristorante F.lli Meli,Bar,"Piazza Firmian 2, 39100 Bolzano",+39 0471 911077,,,"Giovanni Meli, Salvatore Meli",
Bar Romagnolo,Bar,"Piazza Matteotti 8, 39100 Bolzano",+39 0471 501846,,,,
Bar San Marco S.n.c. di Jin Quianghua,Bar,"Via Claudia Augusta 68/A, 39100 Bolzano",+39 0471 260473,,,Jin Quianghua,
Bar Tennis,Bar,"Via Pacher 2, 39100 Bolzano",+39 0471 281519,,,,
Bar del Corso di Gabriele Santo Agostino,Bar,"Via Giuliani Padre Reginaldo 1, 39100 Bolzano",+39 0471 262602,,,Gabriele Santo Agostino,
Binder di Parpaiola Claudio,Bar,"Via dei Bottai 22/C, 39100 Bolzano",+39 0471 970223,,,Claudio Parpaiola,
Cafe Maschin,Bar,"Via Laurin 2, 39100 Bolzano",+39 0471 324733,,,,
Caffe Gries di Tafani Silvana,Bar,"Piazza Gries 7/A, 39100 Bolzano",+39 0471 375014,,,Silvana Tafani,
Caffè Mattei,Bar,"Piazza della Parrocchia 2, 39100 Bolzano",+39 0471 977665,,,Mattei,
Café Bistró 2000,Bar,"Viale Duca D'Aosta 93, 39100 Bolzano",+39 0471 285018,,,,
Campanardi Sandra,Bar,"Via del Ronco 9, 39100 Bolzano",+39 0471 539064,,,Sandra Campanardi,
Chef Express,Bar,"Piazza della Stazione 12, 39100 Bolzano",+39 0471 978124,,,,
Chen Dynasty di Zhang Jing,Bar,"Piazza Anita Pichler 26, 39100 Bolzano",+39 0471 348331,,,Zhang Jing,
Ciao & Qiao di Yan Qiao,Bar,"Via De Lai 4/B, 39100 Bolzano",+39 339 3523315,,,Yan Qiao,+39 339 3523315
Coffee Bean,Bar,"Corso Libertà 15, 39100 Bolzano",+39 0471 401738,,,,
Dom Cafe S.a.s.,Bar,"Via Alto Adige 2, 39100 Bolzano",+39 0471 977077,,,,
Drink Bar Snc,Bar,"Via del Macello 29, 39100 Bolzano",+39 0471 970133,,,,
Eden Park,Bar,"Via Museo 4/B, 39100 Bolzano",+39 0471 978999,,,,
Elgian Semplificata,Bar,"Via Amba Alagi 26, 39100 Bolzano",+39 0471 235444,,,,
Ema S.n.c. di Modena Ivano,Bar,"Via della Rena 1, 39100 Bolzano",+39 0471 237393,,,Ivano Modena,
Enolisa S.r.l.s.,Bar,"Via Dr. Streiter 22/A, 39100 Bolzano",+39 0471 980630,,,,
Ficale di Turrina Daniele,Bar,"Via Argentieri 17, 39100 Bolzano",+39 345 2227720,,,Daniele Turrina,+39 345 2227720
Gds S.n.c.,Bar,"Via Carducci 3, 39100 Bolzano",+39 0471 978324,,,,
Gelateria Bar Bersaglio,Bar,"Piazzetta del Bersaglio 8, 39100 Bolzano",+39 0471 224423,,,Francesco Perri,
Gelateria Bar Bersaglio Resia,Bar,"Via Resia 108, 39100 Bolzano",+39 0471 224826,,,Francesco Perri,+39 329 6738863
Gelateria Bar Mario Bolzano,Bar,"Via Santa Geltrude 48, 39100 Bolzano",+39 0471 264502,,,Mario,
Gelatiera Caffettiera Pennini,Bar,"Via Resia 76/A, 39100 Bolzano",+39 388 1935902,,,Pennini,+39 388 1935902
Gero S.a.s. di Gerardi Carmine,Bar,"Via Dalmazia 37/B, 39100 Bolzano",+39 0471 919283,,,Carmine Gerardi,
Graeber Franz,Bar,"Piazza Gries 11/A, 39100 Bolzano",+39 0471 379947,,,Franz Graeber,
Jin Chang S.n.c. di Xu Feng,Bar,"Viale Duca D'Aosta 91, 39100 Bolzano",+39 320 8596698,,,Xu Feng,+39 320 8596698
Karwan Rasul Ali,Bar,"Piazza Mazzini 48, 39100 Bolzano",+39 0471 236409,,,Rasul Ali Karwan,
La Cubana,Bar,"Piazza Matteotti 11, 39100 Bolzano",+39 340 8693849,,,,+39 340 8693849
Marylin,Bar,"Via della Posta 12, 39100 Bolzano",+39 393 1751469,,,,+39 393 1751469
Milano 192 Gelato,Bar,"Via Milano 192/A, 39100 Bolzano",+39 0471 236500,,,,
Mur Christian,Bar,"Via Brennero 7/A, 39100 Bolzano",+39 0471 982953,,,Christian Mur,
Peter Pub di Veronese Alex,Bar,"Via San Vigilio 76/A, 39100 Bolzano",+39 0471 278689,,,Alex Veronese,
Poberezco Natalia,Bar,"Galleria Europa 1, 39100 Bolzano",+39 0471 348454,,,Natalia Poberezco,
Rasuli Hemn,Bar,"Via Claudia Augusta 41/A, 39100 Bolzano",+39 328 8868882,,,Hemn Rasuli,+39 328 8868882
Sasmaz Fatma,Bar,"Via della Mendola 54/A, 39100 Bolzano",+39 0471 503288,,,Fatma Sasmaz,
Satellite di Targa Tatiana,Bar,"Via Cagliari 12, 39100 Bolzano",+39 0471 933098,,,Tatiana Targa,
Savino Coffee Shop,Bar,"Via Torino 58, 39100 Bolzano",+39 0471 347136,,,Savino,
Schipani Luciana,Bar,"Via Sorrento 33, 39100 Bolzano",+39 0471 501499,,,Luciana Schipani,
Soares Glenda Graziella,Bar,"Via Claudia Augusta 37, 39100 Bolzano",+39 0471 366321,,,Glenda Graziella Soares,
Tassi S.a.s. di Tassi Mirka,Bar,"Via S. Vigilio 52, 39100 Bolzano",+39 0471 260830,,,Mirka Tassi,
Tre Erre di Rojas Juan Carlos,Bar,"Via Palermo 37, 39100 Bolzano",+39 0471 911074,,,Juan Carlos Rojas,
Tsurkan Nadiya,Bar,"Via Roma 84/A, 39100 Bolzano",+39 0471 539531,,,Nadiya Tsurkan,
White Devil di Manole Ionela,Bar,"Via Resia 138, 39100 Bolzano",+39 0471 911226,,,Ionela Manole,
Wlm S.a.s. di Segafredo Walter,Bar,"Via Gaismair 10, 39100 Bolzano",+39 0471 253131,,,Walter Segafredo,
Zhan Weiwu & Zhang Weiwei S.n.c.,Bar,"Via Claudia Augusta 64, 39100 Bolzano",+39 0471 271726,,,"Zhan Weiwu, Zhang Weiwei",
Albergo Trattoria Hofer,Hotel,"Via Bergamo 19, 39100 Bolzano",+39 0471 913522,info@hoferbz.com,www.hoferbz.com,Famiglia Hofer (probabile),
B&B Hotel Garni Bolzano,Hotel,"Via Werner Von Siemens 18, 39100 Bolzano",+39 0471 205454,bolzano@hotelbb.com,www.hotel-bb.com,Gruppo B&B Hotels,
Bad St. Isidor,Hotel,"Campegno 31, 39100 Bolzano",+39 0471 365263,info@badstisidor.it,www.badstisidor.it,,
Cappello di Ferro Hotel,Hotel,"Via dei Bottai 21, 39100 Bolzano",+39 0471 978397,,,,
Castel Hörtenberg,Hotel,"Via Monte Tondo/Hörtenbergstr. 4, 39100 Bolzano",+39 0471 1800355,reservations@castel-hoertenberg.com,www.castel-hoertenberg.com,"Famiglia Podini (Alex Podini, Anna Podini)",+39 0471 979027
Castel Mareccio,Hotel,"Via Alto Adige 60, 39100 Bolzano",+39 0471 307000,,,,
Design Hotel Greif,Hotel,"Via della Rena 28, Piazza Walther, 39100 Bolzano",+39 0471 318000,info@greif.it,www.greif.it,Famiglia Staffler (Franz Staffler) - Dir. Doris Gotter,
Eisenhut Boutique Hotel,Hotel,"Via dei Bottai 21, 39100 Bolzano",+39 0471 1393700,info@eisenhut-bozen.com,www.eisenhut-bozen.com,,
Falkensteiner Hotel Bozen Waltherpark,Hotel,"Via Alto Adige 31, 39100 Bolzano",+39 0471 1431601,bozen@reservations.falkensteiner.com,www.falkensteiner.com,"Erich/Andreas Falkensteiner, Otmar Michaeler (FMTG)",
Feichter Hotel & Living,Hotel,"Via Grappoli 15, 39100 Bolzano",+39 0471 978768,info@hotelfeichter.it,www.hotelfeichter.it,Famiglia Feichter,
Ferrari Tower,Hotel,"Via del Macello 28, 39100 Bolzano",+39 0471 1552601,info@ferrari-tower.com,,,
Four Points by Sheraton,Hotel,"Via Bruno Buozzi 35, 39100 Bolzano",+39 0471 1950000,info@fourpointsbolzano.it,www.fourpointsbolzano.it,Marriott International,
Gardenhotel Premstaller,Hotel,"Via C. Firmiani 27/B, 39100 Bolzano",+39 0471 631166,info@hotel-premstaller.it,www.hotel-premstaller.it,Famiglia Premstaller,
Garni Alpen Queen,Hotel,"Via Macello 8, 39100 Bolzano",+39 3271781324,ristorantequeen.vocolli@hotmail.com,,Vocolli (gestione),
Gasthof Klaus,Hotel,"Colle 15, 39100 Bolzano",+39 0471 329999,zelger.klaus@hotmail.de,www.gasthof-klaus.com,Klaus Zelger,+39 339 2838222
Gasthof Kohlern - Albergo Colle,Hotel,"Colle 11, 39100 Bolzano",+39 0471 329978,info@kohlern.com,www.kohlern.com,,
Gatto Nero - Schwarze Katz,Hotel,"S. Maddalena di Sotto 2, 39100 Bolzano",+39 0471 975417,info@schwarzekatz.it,www.schwarzekatz.it,,
Hotel Adria Garni 1956,Hotel,"Via Perathoner 17, 39100 Bolzano",+39 0471 975735,info@hoteladria-bz.it,www.hoteladria-bz.it,,
