NOME AZIENDE,NOME TITOLARE,NOTE,INDIRIZZO,TELEFONO,PRESENTE SI O NO,DATA DELLA CHIAMATA,DATA DELL'APPUNTAMENTO
Stadt Hotel Città,,Inviare  email info@hotel-città.com ,"Via Argentieri, 16", 0471 1800161 ,,11/05/26,
Hotel Greif,Pircher Ulrike (donna),ok,"Via della Rena, 28",0471 318000,sì,11/05/26,dalle 10:00 alle 10.30
Falkensteiner Hotel Bozen,,inviare email bozen@lalkensteiner.com ,"Via Alto Adige, 31",0471 143 1601,,11/05/26,
Cornelian Rooms & Suites,General manager  Sign. Wieser ,gestisce Manna Hotel 40 minuti da Bolzano,Via Argentieri,0471 1430095,sì,11/05/26,dalle 10:30 
Hotel Palais Hortenberg,,info@palais-hortenberg.com ,"Via Laurin, 4",0471 1801036,,11/05/26,
META Skybar & Restaurant,,non risp,"Piazza Walther, 13",3420401131,,11/05/26,
Aida Restaurant Pizzeria,Mayer ,non interessati per ora ,"Piazza Walther, 1",0471 975369,,12/05/26,
Casa al Torchio,,non risp,"Via Museo, 2/A",0471 978109,,11/05/26,
Paulaner Stuben,,non interessati per ora ,"Via Argentieri, 16", 0471 980407,,12/05/26,
Cavallino Bianco,,non interessati per ora ,"Via dei Bottai, 6",0471 973267,,11/05/26,
Löwengrube,,info@löwengrube.it inviare email per fix app,"Piazza Dogana, 3",0471 970032,sì dalle 10.30 ,11/05/26,
Pizzeria La Torcia,,"titolare fuori, rientra tra due settimane","Via Argentieri, 27",0471 973236,,11/05/26,
Römerkeller,,non risp,"Via dei Portici, 60",3293661303,,11/05/26,
Il Giardinetto,,---,"Via della Rena, 14",0471 977218,,11/05/26,
Vögelino,,chiamare domani ,"Piazza Walther, 10",0471 971387,,12/05/26,
Loacker Café,,non risp,"Piazza Walther, 11", 0471 053673,,11/05/26,
Pasticceria Gasser,,---,Piazza Walther,0471 971427,,11/05/26,
Campo Franz,,non interassato ,"Piazza Von Der Vogelweide Walther, 13 - 39100 Bolzano (BZ)","0471 233729, 335 69150940",,12/05/26,
Ristorante Il Tinello,,già clienti ,"Via dei Conciapelli, 38 - 39100 Bolzano (BZ)",0471 324711,,11/05/26,
Matté Pizzeria Napoletana,,ok,"Galleria Europa, 28 - 39100 Bolzano (BZ)",375 6974238,sì dopo le 15:30 ci sta e può dedicare 20 minuti ,11/05/26,15:30 
Osteria dai Carrettai,Sartori Stefano ,,"Via Doktor Joseph Streiter, 20 - 39100",0471 970558,,11/05/26,
Il Corso,,lunedì chiusi ,"Piazza della Vittoria, 44, 39100 Bolzano BZ",0471 262307,,11/05/26,
Restaurant Arôme Thaler,,,"Laubengasse, Via dei Portici, 69, 39100 Bolzano BZ",0471 313030,,11/05/26,
Hotel Figl,,,"Piazza del Grano, 9, 39100 Bolzano BZ",0471978412,sì dalle 9:00,11/05/26,
Temple Bar,,dopo il 6 giugno,"Piazza Domenicani, 20, 39100 Bolzano BZ",3408035877,,11/05/26,
Laurin Bar ,,inviare email purchansing@laurin.it,"Via Laurin, 4, 39100 Bolzano BZ",0471311000,,11/05/26,
Tiffany Lunch ,Adil 3315881656 ,per ora non interessato ,"Piazza della Vittoria, 33, 39100 Bolzano BZ",0471282499,,11/05/26,
Jalal ,,,"Via Dr. Josef Streiter, 21, 39100 Bolzano BZ",0471237806,sì dalle 11,11/05/26,
Bogen ,,già clienti,"Via Dr. Josef Streiter, 31, 39100 Bolzano BZ",0471 1800384,,11/05/26,
Ristorante Anita,,non risp,"Piazza delle Erbe, 5, 39100 Bolzano BZ",0471 973760,,11/05/26,
Feichter Hotel & Living Bozen Bolzano Südtirol Alto Adige,,,"Via dei Grappoli, 15, 39100 Bolzano BZ",0471978768,,11/05/26,
Hotel Adria,,non interessato,"Via Dr. Julius Perathoner, 17, 39100 Bolzano BZ",0471 975735,,11/05/26,
Eisenhut Boutique Hotel,,"inviare email email informativa info@eisenhut-bozen.com
Dellago Sophie direttrice ","Via dei Bottai, 21, 39100 Bolzano BZ",04711393700,,12/05/26,
La Briosa,,Inviare email info@napurahotel.it   Direttore Zonofio ,"Via dei Cappuccini, 12, 39100 Bolzano BZ",0471975221 / 3279839785,,12/05/26,
Falkensteiner Hotel,,Inviare email bozen@falkensteiner.com ,"Via Alto Adige, 31, 39100 Bolzano BZ",0471 1431601,,12/05/26,
Residence Fink,,non interessati ,"Via della Mostra, 9, 39100 Bolzano BZ",0471 095091,,12/05/26,
Casa Kolping,,info@kolpingbozen.it,"Largo Adolph Kolping, 3, 39100 Bolzano BZ",0471 308400,,12/05/26,
Goldenstern Townhouse,,aggiornare tra qualche mese,"Via Dr. Josef Streiter, 53, 39100 Bolzano BZ",0471 060043,,12/05/26,
Parkhotel Luna Mondschein,,chiamare più tardi ,"Via Piave, 15, 39100 Bolzano BZ",0471 975642,,12/05/26,
Hotel Regina,,,"Via Renon, 1, 39100 Bolzano BZ",0471 972195,,,
Hotel Dolomiti,,,"Viale Venezia, 3, 39100 Bolzano BZ",0471 251994,,,
Hotel Scala Stiegl,,,"Via Brennero, 11, 39100 Bolzano BZ",0471 976222,,,
Castel Hörtenberg,,,"Via Monte Tondo, 4, 39100 Bolzano BZ",0471 1800355,,,
Gatto Nero,,,"Via, Via Santa Maddalena di Sotto, 2, 39100 Bolzano BZ",0471 975417,,,
Youth Hostel Bolzano,,,"Via Renon, 23, 39100 Bolzano BZ",0471 300865,,,
Rosengarten Rooms & Apartments,,,"Via Catinaccio, 1, 39100 Bolzano BZ",3400034065,,,
Sir Thomas Bed & More,,,"Via Goethe, 30, 39100 Bolzano BZ",0471 375346,,,
Ristorante Al Città,,,"Via Argentieri, 1, 39100 Bolzano BZ",0471 1800161,,,
Vögelino,,,"Piazza Walther, 2, 39100 Bolzano BZ",0471 1550949,,,
Insushi Campofranco,,,"Via della Mostra, 3, 39100 Bolzano BZ",0471 236943,,,
Corte - Bar & Bistro,,,"Piazza Walther, 13, 39100 Bolzano BZ",0471 058808,,,
Vital COFFEE,,,"Piazza della Parrocchia, 10, 39100 Bolzano BZ",0471 378092,,,
Dom Café,,,"Via Alto Adige, 2, 39100 Bolzano BZ",0471 977077,,,
LOPEZ CAFÉ,,,"Via Alto Adige, 11, 39100 Bolzano BZ",3920314110,,,
