Albergo Trattoria Hofer	Famiglia Hofer (probabile)	[Hotel] | email: info@hoferbz.com | sito: www.hoferbz.com	Via Bergamo 19	0471 913522			
B&B Hotel Garni Bolzano	Gruppo B&B Hotels	[Hotel] | email: bolzano@hotelbb.com | sito: www.hotel-bb.com	Via Werner Von Siemens 18	0471 205454			
Bad St. Isidor		[Hotel] | email: info@badstisidor.it | sito: www.badstisidor.it	Campegno 31	0471 365263			
Cappello di Ferro Hotel		[Hotel]	Via dei Bottai 21	0471 978397			
Castel Mareccio		[Hotel]	Via Alto Adige 60	0471 307000			
Ferrari Tower		[Hotel] | email: info@ferrari-tower.com	Via del Macello 28	0471 1552601			
Four Points by Sheraton	Marriott International	[Hotel] | email: info@fourpointsbolzano.it | sito: www.fourpointsbolzano.it	Via Bruno Buozzi 35	0471 1950000			
Gardenhotel Premstaller	Famiglia Premstaller	[Hotel] | email: info@hotel-premstaller.it | sito: www.hotel-premstaller.it	Via C. Firmiani 27/B	0471 631166			
Garni Alpen Queen	Vocolli (gestione)	[Hotel] | email: ristorantequeen.vocolli@hotmail.com	Via Macello 8	3271781324			
Gasthof Klaus	Klaus Zelger	[Hotel] | email: zelger.klaus@hotmail.de | sito: www.gasthof-klaus.com | cell: +39 339 2838222	Colle 15	0471 329999			
Gasthof Kohlern - Albergo Colle		[Hotel] | email: info@kohlern.com | sito: www.kohlern.com	Colle 11	0471 329978			
Hotel Ariston		[Hotel] | email: info@hotelaristonbz.it | sito: www.hotelaristonbz.com	Via Roma 82	0471 916558			
Hotel Asterix		[Hotel] | email: info@hotelasterixbz.com | sito: www.hotelasterixbz.com	Piazza Mazzini 35	0471 280437			
Hotel Chrys		[Hotel] | email: info@chryshotel.it | sito: www.chryshotel.it	Via Mendola 100	0471 921121			
Hotel Fiera		[Hotel] | email: info@hotelfierabz.com | sito: www.fierabolzano.it	Via Kravogl 3	0471 539288			
Hotel Hanny	Famiglia Riegler (Margot, Karl, Anna, Josef)	[Hotel] | email: info@hotelhanny.it | sito: www.hotelhannybolzano.it	Via S. Pietro 4	0471 973498			
Hotel Lewald	Famiglia Lewald (Johanna, Monica, Christian)	[Hotel] | email: info@lewald.it | sito: www.lewald.it	Via Maso della Pieve 17	0471 250330			
Hotel Post Gries	Famiglia Berger (Berger Hotel S.r.l.)	[Hotel] | email: info@hotel-post-gries.com | sito: www.hotel-post-gries.com	Corso Libertà 117	0471 279000			
Hotel Ristorante Eberle	Famiglia Zisser (Stefan Zisser)	[Hotel]	Passeggiata Sant'Osvaldo 1	0471 976125			
Istituto Salesiano Rainerum	Salesiani Don Bosco	[Hotel] | email: albergogioventu@rainerum.it | sito: www.rainerum.it	P.zza Domenicani 15	0471 972283			
Loom Hotel		[Hotel] | email: info@loomhotel.com | sito: www.loomhotel.com	Via Copernico 11	0471 283075			
